tournament,Raw,Modified
Friendly,20,0.333333333
British Home Championship,30,0.5
Évence Coppée Trophy,30,0.5
Copa Lipton,30,0.5
Copa Newton,30,0.5
Copa Premio Honor Argentino,30,0.5
Copa Premio Honor Uruguayo,30,0.5
Copa Roca,30,0.5
Copa América,50,0.833333333
Copa Chevallier Boutell,30,0.5
Nordic Championship,30,0.5
Central European International Cup,40,0.666666667
Baltic Cup,30,0.5
Balkan Cup,30,0.5
FIFA World Cup,60,1
Copa Rio Branco,30,0.5
FIFA World Cup qualification,50,0.833333333
Bolivarian Games,30,0.5
CCCF Championship,30,0.5
NAFC Championship,30,0.5
Copa Oswaldo Cruz,30,0.5
Pan American Championship,50,0.833333333
Copa del Pacífico,30,0.5
Copa Bernardo O'Higgins,30,0.5
AFC Asian Cup qualification,30,0.5
Atlantic Cup,30,0.5
AFC Asian Cup,50,0.833333333
African Cup of Nations,50,0.833333333
Copa Paz del Chaco,30,0.5
Merdeka Tournament,30,0.5
UEFA Euro qualification,40,0.666666667
UEFA Euro,50,0.833333333
Windward Islands Tournament,30,0.5
African Cup of Nations qualification,30,0.5
Vietnam Independence Cup,30,0.5
Copa Carlos Dittborn,30,0.5
Phillip Seaga Cup,30,0.5
CONCACAF Championship,50,0.833333333
Copa Juan Pinto Durán,30,0.5
Arab Cup,30,0.5
South Pacific Games,30,0.5
CONCACAF Championship qualification,40,0.666666667
Copa Artigas,30,0.5
GaNEFo,30,0.5
King's Cup,30,0.5
Gulf Cup,30,0.5
Indonesia Tournament,30,0.5
Korea Cup,30,0.5
Palestine Cup,30,0.5
Brazil Independence Cup,30,0.5
Copa Ramón Castilla,30,0.5
Oceania Nations Cup,30,0.5
CECAFA Cup,30,0.5
Kuneitra Cup,30,0.5
Copa Félix Bogado,30,0.5
Real Madrid 75th Anniversary Cup,30,0.5
Beijing International Friendship Tournament,30,0.5
Kirin Cup,30,0.5
CFU Caribbean Cup qualification,30,0.5
CFU Caribbean Cup,40,0.666666667
Amílcar Cabral Cup,30,0.5
FIFA 75th Anniversary Cup,30,0.5
Guangzhou International Friendship Tournament,30,0.5
Mundialito,30,0.5
West African Cup,30,0.5
Nehru Cup,30,0.5
Merlion Cup,30,0.5
Great Wall Cup,30,0.5
UDEAC Cup,30,0.5
Rous Cup,30,0.5
CONMEBOL–UEFA Cup of Champions,40,0.666666667
Lunar New Year Cup,30,0.5
Arab Cup qualification,30,0.5
Tournoi de France,30,0.5
Malta International Tournament,30,0.5
Matthews Cup,30,0.5
Tournament Burkina Faso,30,0.5
Island Games,30,0.5
NAFU Championship,30,0.5
Dynasty Cup,30,0.5
Dakar Tournament,30,0.5
UNCAF Cup,30,0.5
Gold Cup,40,0.666666667
USA Cup,30,0.5
Jordan International Tournament,30,0.5
Confederations Cup,40,0.666666667
United Arab Emirates Friendship Tournament,20,0.333333333
Oceania Nations Cup qualification,30,0.5
Simba Tournament,30,0.5
SAFF Cup,30,0.5
AFF Championship,30,0.5
King Hassan II Tournament,30,0.5
Cyprus International Tournament,30,0.5
Dunhill Cup,30,0.5
COSAFA Cup qualification,30,0.5
COSAFA Cup,30,0.5
Gold Cup qualification,30,0.5
SKN Football Festival,30,0.5
UNIFFAC Cup,30,0.5
WAFF Championship,30,0.5
Millennium Cup,30,0.5
Cup of Ancient Civilizations,30,0.5
Prime Minister's Cup,30,0.5
EAFF Championship,30,0.5
TIFOCO Tournament,30,0.5
Afro-Asian Games,30,0.5
AFC Challenge Cup,30,0.5
FIFI Wild Cup,40,0.666666667
ELF Cup,30,0.5
Viva World Cup,30,0.5
AFC Challenge Cup qualification,30,0.5
African Nations Championship,30,0.5
VFF Cup,30,0.5
Dragon Cup,30,0.5
ABCS Tournament,30,0.5
Nile Basin Tournament,30,0.5
Nations Cup,30,0.5
Copa Confraternidad,30,0.5
Pacific Games,30,0.5
Superclásico de las Américas,30,0.5
Kirin Challenge Cup,30,0.5
OSN Cup,30,0.5
CONIFA World Football Cup,30,0.5
CONIFA European Football Cup,30,0.5
Copa América qualification,30,0.5
World Unity Cup,30,0.5
Pacific Mini Games,30,0.5
Intercontinental Cup,30,0.5
AFF Championship qualification,30,0.5
UEFA Nations League,40,0.666666667
CONCACAF Nations League qualification,30,0.5
African Nations Championship qualification,30,0.5
Atlantic Heritage Cup,30,0.5
Inter Games Football Tournament,30,0.5
CONCACAF Nations League,40,0.666666667
Three Nations Cup,30,0.5
Mahinda Rajapaksa Cup,30,0.5
Navruz Cup,30,0.5
CONIFA Africa Football Cup,30,0.5
CONIFA South America Football Cup,30,0.5
MSG Prime Minister's Cup,30,0.5
